author,nb_avis,notes_moyennes,ecart-type,nb_commentaires
Monsieur Guillaume,66,7.727272727272727,1.28564869306645,66
morlockbob,1213,6.098928276999176,1.706910595589478,1213
SwatSh,568,7.026408450704225,1.9449301524622304,568
Timi JeuxATheme,179,7.854748603351955,1.2600954643430102,179
prunelles,35,8.914285714285715,1.2955181770005295,35
BSI40,298,7.23489932885906,1.5774810510352848,298
kakawette,201,7.034825870646766,1.6157745688186702,201
PawnPawn,135,6.725925925925926,1.6796367756800092,135
M.PinK,144,7.180555555555555,1.7898354121173092,144
micmac85,84,7.535714285714286,1.1489791387246724,84
Max Riock,115,8.347826086956522,1.3256235826197913,115
Olfenw,56,7.928571428571429,1.8789923482808435,56
axelian73,116,7.7155172413793105,2.250693511828186,116
MisTeR ToON,137,7.0,1.4142135623730951,137
Godferdom,12,5.75,3.217789096051304,12
Lilly,16,7.875,2.315032397181517,16
letroyenfou,19,8.052631578947368,1.0989796325169,19
Tostaky37,12,6.416666666666667,3.147971127920684,12
Empédocle,54,6.314814814814815,2.544595391500815,54
lenantaisdemontelimar,8,8.875,1.165922381636102,8
AtomChris,1,8.0,0.0,1
livingdeadcats,46,7.5,1.2291743428893198,46
Ricardo31,21,8.380952380952381,1.9389783877621267,21
Player One,13,8.615384615384615,0.8355984993230936,13
expliquemoica,3,7.666666666666667,0.4714045207910317,3
koala von koala,5,8.6,0.4898979485566356,5
Madame Mathilde,10,8.1,0.9433981132056604,10
Antoinette,113,7.920353982300885,1.7606394299032837,113
Sempre Sainté,16,6.625,1.1110243021644486,16
le.meeple.jaune,72,8.416666666666666,0.9824855102126328,72
Emmanuel72,18,8.444444444444445,1.0657403385139377,18
MMM86,10,8.1,0.8306623862918073,10
grotesk,95,7.431578947368421,1.39663227710501,95
Jones,240,6.6875,1.7648919938625138,240
bunnypookah,185,6.708108108108108,1.7339812615307195,185
sebduj,49,7.693877551020408,1.9918618265398471,49
Olène,33,9.0,2.015094553763188,33
Djellal,83,7.349397590361446,1.3211325457226797,83
Greta,100,6.97,1.0904586191139949,100
castorjunior,143,7.440559440559441,1.2880427914012826,143
égécriéaline,66,7.348484848484849,2.332201614565635,66
Canardidou,24,8.5,1.6072751268321592,24
SAPEUR,9,7.666666666666667,1.3333333333333333,9
macrenz0,53,7.811320754716981,1.099855972965259,53
dodylafraise,51,7.254901960784314,1.594637302850781,51
Hagrael,23,9.217391304347826,1.1779319290560055,23
zeibacker,8,9.25,0.6614378277661477,8
Elcoyot,10,7.9,1.3,10
Patmol,22,8.363636363636363,0.9791208740244552,22
Casimir Morel,52,6.961538461538462,1.5684575772387448,52
tom_poutre,20,8.2,0.9797958971132712,20
boscouzareix,1,1.0,0.0,1
Watanuki21,1,8.0,0.0,1
John Lénine,19,7.947368421052632,2.038412287477588,19
AkoaTujou,17,8.235294117647058,1.0017286097603766,17
PapaJeux,21,6.047619047619048,2.148669366224472,21
Nékycool,40,7.2,1.0770329614269007,40
El Lorenzo207,16,7.6875,1.6476782908080083,16
Delorean,56,6.928571428571429,1.3477115902938006,56
Jeeps,17,8.058823529411764,0.8022459821756386,17
plumesdanges,27,8.222222222222221,1.2570787221094175,27
Didi5962,14,7.857142857142857,1.456862718169367,14
Sirien,12,7.333333333333333,0.9428090415820632,12
Gregos38,9,6.777777777777778,0.9162456945817024,9
ultraviolet,7,8.285714285714286,1.4846149779161808,7
ragoudcep,3,8.0,0.816496580927726,3
Pollo,16,7.4375,2.344374916688881,16
Meeplejuice,24,6.875,1.393810723639811,24
Heroisu,4,8.0,0.0,4
Gido_L4,25,9.28,1.8443427013437603,25
TwinsenLBA,127,7.05511811023622,2.1674292134920563,127
Guillaume,91,6.923076923076923,2.174935993656002,91
Henrri,12,7.583333333333333,2.628635049264584,12
valreva,206,7.41747572815534,0.9453439487560652,206
montaignec,8,6.875,1.6153559979150107,8
Arkiris,5,9.2,0.3999999999999999,5
Phigalac,1,8.0,0.0,1
Legaspy,2,9.0,1.0,2
arnyanka,63,8.26984126984127,1.129775215826936,63
Suzy-one1996,17,7.470588235294118,1.143660123248446,17
Gaélion,19,7.368421052631579,1.2230473724865527,19
Getno,3,8.333333333333334,0.4714045207910317,3
Michrone,1,8.0,0.0,1
Tigragon22,29,7.620689655172414,1.4951367854261242,29
cedric-XIII,4,8.5,1.118033988749895,4
Des Jeux Une Fois,15,8.8,0.9797958971132712,15
Joseph Foussat,1,9.0,0.0,1
Apos,90,8.011111111111111,1.2604623882126609,90
MysterMystere,19,8.263157894736842,1.942383377604835,19
Mephisto42560,98,7.795918367346939,1.6222885301230363,98
Dezzy,1,10.0,0.0,1
crossangel,224,7.571428571428571,2.758798540625085,224
Bart94,27,8.333333333333334,0.6085806194501846,27
CGKrr,11,8.181818181818182,2.16661368869327,11
djakarn,18,8.444444444444445,2.891024851390596,18
Captain Pat,5,7.4,1.019803902718557,5
Sn4fu,1,10.0,0.0,1
vinsf31,3,9.0,0.0,3
SgtPerry,2,10.0,0.0,2
Mattintheweb,239,7.125523012552302,1.6315845798187176,239
Foussa67,134,7.529850746268656,2.4147874617005134,134
tapimoket,69,8.971014492753623,1.0210965190613643,69
NewTom,107,8.925233644859814,0.934299023351864,107
Abienesst,68,8.661764705882353,1.694370385559252,68
boardgameguix,192,6.171875,1.495354133432947,192
thepetolet,92,8.16304347826087,1.5271255601195697,92
PaniQuest,40,8.775,1.2346558224865742,40
Capalwest,35,9.228571428571428,0.5897076411585798,35
6*M*A*S*H,15,7.6,2.274496281230931,15
Newton7900,30,7.6,1.3564659966250538,30
happymike,28,7.642857142857143,1.34202101628971,28
spyrolivier,3,9.0,0.816496580927726,3
myrdal,1,9.0,0.0,1
arena,21,8.904761904761905,0.6098213559459855,21
Serge A. Storms,1,8.0,0.0,1
Similie,14,9.714285714285714,1.0301575072754257,14
Lartgonaut,19,8.421052631578947,0.7480352843974681,19
Nida,8,9.875,0.3307189138830738,8
Artignac,18,7.888888888888889,1.9969111950679368,18
Turbolily,5,8.6,1.8547236990991407,5
trukmuch,33,8.090909090909092,1.3787046261911908,33
inapter,26,7.769230769230769,2.1538461538461537,26
Freeple,4,8.0,1.7320508075688772,4
eveb,3,8.0,0.816496580927726,3
GeorgeFMS,5,9.0,0.6324555320336759,5
Dams$sowW,1,10.0,0.0,1
LaBoule07,58,7.913793103448276,1.0873010362363835,58
La Bonne Pioche,3,8.666666666666666,0.9428090415820634,3
Sale Gosse,29,6.689655172413793,1.74402325743473,29
prosperitay,35,6.485714285714286,1.0245954901166352,35
X Wouilm,43,8.627906976744185,1.4309414012014108,43
Jib Mann,33,6.878787878787879,2.156843593851424,33
Macteyss,29,8.620689655172415,0.8474624639616901,29
Ecocita,59,7.47457627118644,1.369843888215373,59
Fabcz,3,9.333333333333334,0.4714045207910317,3
gerard du 56,1,10.0,0.0,1
UnMetalleuxAnonyme,5,8.2,1.32664991614216,5
Yocha44,2,9.5,0.5,2
Alexbeno,2,10.0,0.0,2
lhr76,3,8.0,0.816496580927726,3
Tourteau,16,8.625,0.7806247497997998,16
Fabifab183,3,9.666666666666666,0.4714045207910317,3
Lithienne,11,7.545454545454546,0.782029569731148,11
Illyana86,2,9.5,0.5,2
DanSliman,41,7.853658536585366,1.2008325487893825,41
Johnnybgood,17,8.882352941176471,1.277974175435319,17
Fabbbb,9,8.555555555555555,1.1653431646335015,9
La tuile de jeu,12,7.416666666666667,0.759202798262025,12
Victorbob,3,9.0,0.816496580927726,3
HappyMSI,4,8.5,1.5,4
laloutre87,47,6.76595744680851,1.3716392733009528,47
Llbgr,2,9.0,1.0,2
Pistibouc,51,7.764705882352941,1.7555317086744624,51
Inxdayy,7,7.142857142857143,1.8844151368961315,7
Kylieske,3,5.333333333333333,1.8856180831641267,3
Haumea Games,4,9.0,0.0,4
studiordl,197,8.629441624365482,1.4977974329479906,197
harveyfox,127,7.84251968503937,1.7271577710643382,127
RP,90,8.077777777777778,1.904542976836513,90
zachtman,79,7.708860759493671,2.0072772586940526,79
william150574,127,9.125984251968504,0.6017314385682778,127
Salmanazar,50,7.46,2.2821919288263204,50
gepefun,76,6.855263157894737,2.030711227290247,76
Wart,12,7.0,2.41522945769824,12
Ratman,45,8.022222222222222,2.185699876610987,45
Azarian,9,9.333333333333334,0.4714045207910317,9
Cesium,37,8.621621621621621,1.3426748484728883,37
Ric555,13,6.461538461538462,2.706555705501412,13
Doc-Fox,18,8.666666666666666,1.414213562373095,18
jayx31,32,9.4375,1.1439378261076951,32
Mi-Bantou,45,8.355555555555556,1.1767290928776646,45
Proute,17,9.647058823529411,0.8360394355030528,17
Brenoît,2,8.5,0.5,2
fabrice1984,18,7.0,2.3570226039551585,18
CROqueurs Ludiques,3,8.666666666666666,0.4714045207910317,3
CedPet,11,8.090909090909092,1.8317674254190808,11
ender71,12,9.083333333333334,1.8911342863183696,12
Terr'en Jeu,21,7.142857142857143,2.4743582965269675,21
ko-alalou,18,8.61111111111111,2.4751854899939403,18
erg machaon,2,9.0,0.0,2
benjamin63,4,8.5,1.118033988749895,4
mystik91,49,8.081632653061224,1.226189296799984,49
Tsinapah,1,10.0,0.0,1
Marzoki,1,10.0,0.0,1
Davandco,4,7.75,0.4330127018922193,4
naldov,6,7.833333333333333,0.6871842709362768,6
Ralfhar,26,6.807692307692308,1.881473047482309,26
dzep,3,8.666666666666666,0.4714045207910317,3
WoWoninWow,1,7.0,0.0,1
Siana83,1,7.0,0.0,1
Jen2387,50,6.9,1.5,50
actarus007,2,5.0,4.0,2
TomTom 17,1,10.0,0.0,1
pat77,5,9.6,0.4898979485566356,5
Pastardhino,2,9.0,0.0,2
ludogeek,2,6.5,1.5,2
MrN0mbre,2,9.0,0.0,2
Schouchi,3,8.0,0.816496580927726,3
Katsuro,39,5.743589743589744,1.5806189751202502,39
Krrro,18,7.166666666666667,2.006932429798716,18
Apo Sun Tzu,1,10.0,0.0,1
Kashyyyk23,23,7.826086956521739,1.7358665024067068,23
NAT - GIFL,63,7.809523809523809,1.3552618543578767,63
Benvenuto,3,9.666666666666666,0.4714045207910317,3
Leolio,1,8.0,0.0,1
nanasss,8,7.75,1.0897247358851685,8
Celsam,1,10.0,0.0,1
Trouduc34,1,10.0,0.0,1
Lmar34,1,8.0,0.0,1
yogeek,1,10.0,0.0,1
Nanane,1,8.0,0.0,1
Metalliphoenix,1,10.0,0.0,1
Angebad,1,9.0,0.0,1
Maggg,1,10.0,0.0,1
