title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Mariposas,33,7.393939393939394,9.0,3.0,1.2538279312471032,33
Mysterium Park,40,7.325,10.0,1.0,1.7802738553379929,40
Quetzal,28,8.178571428571429,10.0,5.0,1.036945081496998,28
Not Alone - Extension Sanctuary,4,5.0,10.0,1.0,3.6742346141747673,4
Alien - Kit de Démarrage,4,9.0,10.0,7.0,1.224744871391589,4
The LOOP,72,8.75,10.0,4.0,1.3307266185559425,72
Troyes Dice,59,8.677966101694915,10.0,5.0,1.241113195865953,59
Deadlines,27,8.851851851851851,10.0,7.0,1.1123449939023113,27
Pandemic Legacy - Saison 0,18,9.222222222222221,10.0,5.0,1.1811273125260724,18
Marvel United,19,7.578947368421052,10.0,1.0,2.1598194240719146,19
Adventures in Austerion,4,7.0,9.0,6.0,1.224744871391589,4
Time Stories Revolution - Une nuit d'été,5,7.8,10.0,1.0,3.4292856398964493,5
Donnant Donnant,3,7.0,8.0,6.0,0.816496580927726,3
7 Wonders Duel - Agora,39,8.512820512820513,10.0,0.0,1.7227258494605977,39
Harry Potter : Bataille à Poudlard - Défense contre les Forces du Mal,19,7.315789473684211,10.0,5.0,1.5235910343294872,19
Star realms - Decks de commandement,3,5.666666666666667,10.0,1.0,3.6817870057290873,3
Roméo & Juliette,30,8.1,10.0,2.0,1.903505538035898,30
Sid Meier’s Civilization : Une Aube Nouvelle - Terra Incognita extension,5,8.2,10.0,6.0,1.32664991614216,5
Apérôle - le dragon de Foudreciel,1,6.0,6.0,6.0,0.0,1
Aeon's End: Guerre éternelle,21,9.047619047619047,10.0,5.0,1.1741740958036144,21
Cóatl,6,7.166666666666667,10.0,5.0,1.4624940645653537,6
Cléopâtre et la Société des Architectes (Deluxe Edition),8,7.875,10.0,6.0,1.4523687548277813,8
Les Chateaux de Toscane,7,5.857142857142857,9.0,1.0,2.9485382057928993,7
Trek 12 - Himalaya,77,8.25974025974026,10.0,2.0,1.6229090235650192,77
Les Îles dans le Brouillard,4,7.5,10.0,5.0,1.8027756377319946,4
The Artemis Project,18,7.666666666666667,9.0,6.0,1.0540925533894598,18
Tekhenu,23,8.043478260869565,10.0,5.0,1.082599965042499,23
Chakra: Yin Yang,11,8.727272727272727,10.0,8.0,0.8624393618641034,11
Talisman - 4e Édition Révisée,150,7.1,10.0,0.0,2.557994005726622,150
Aeon's End - Les Sans-Nom,5,8.4,10.0,7.0,1.3564659966250536,5
Majority,16,6.75,10.0,1.0,3.2113081446662823,16
