categories,count,mean_note
Jeux de plateau,5081,4.3925506790001965
Jeux de cartes,3038,4.119198240866035
,2198,4.592715581105908
Guerre,1564,6.786947368421053
Autres,599,4.507145242070117
Affrontement,535,6.666971962616822
Jeu de carte à collectionner,436,3.025619266055046
Jeux de connaissances,433,2.6173672055427257
"Hasard (Dé, Cartes, ...)",427,6.753231850117096
Jeux de pions,416,4.4025961538461535
Casse-tête,380,5.057052631578947
Jeux de figurines,377,4.428794326241135
Placement,318,7.300251141552512
Déplacement,306,6.6728104575163405
Combinaison,302,6.935993377483444
Ambiance,297,6.598720538720539
Jeu de logique,285,4.308140350877194
Médiéval-fantastique,273,7.096520146520146
Dés,261,6.981992337164752
Jeux de dés,256,4.253984375
Exploration,241,7.145906976744185
Coopération,239,7.177615062761507
Gestion,229,7.364541284403669
Gestion de main,229,7.071397379912664
Animaux,224,6.359955357142858
Jeux de rôles,221,4.246923076923077
Bluff,209,6.781004784688995
Fantastique,202,6.642128712871287
Jeux de figurines à collectionner,189,4.788518518518519
Science fiction,180,7.1075
Jeux de lettres,177,3.250677966101695
Course,174,6.821986754966888
Prise de risque,172,6.885465116279071
Collection / famille,169,6.646568047337278
Commerce,169,7.377083333333333
Majorité,168,7.68327380952381
Rapidité,164,6.387621951219511
Médiéval,163,7.183458823529412
Historique,156,6.029230769230769
"Contes, Mythes & Légendes",151,7.096026490066225
Plateau modulaire,150,7.014799999999998
Blocage,150,7.092133333333333
Deck building,150,7.448733333333333
Casual,149,5.548791946308724
Pioche,145,6.8998620689655175
Choix simultanés,144,7.324999999999999
Déduction,138,6.674710144927536
Conquête,137,7.2749635036496345
Simulation,136,6.278676470588236
Amateur,136,3.8019852941176464
Observation,134,6.060223880597015
Placement d'ouvrier,131,7.658396946564886
Mémoire,128,6.460156250000001
Tuile,126,7.17579365079365
Humour,121,6.53702479338843
Programmation,115,7.264608695652174
Antiquité,114,7.149035087719298
Dextérité/Adresse,110,6.312
Abstrait,109,5.797064220183486
Construction,108,7.461759259259259
Rôle,104,6.5904430379746834
Diplomatie,103,7.115048543689319
Monstre,103,7.070388349514562
Connexions,96,6.860833333333335
Narration,95,7.248842105263156
Ville,95,7.099052631578947
Points d'action,92,7.101521739130435
Elimination,92,6.203152173913042
