categories,count
Jeux de plateau,5081
Jeux de cartes,3038
,2198
Guerre,1564
Autres,599
Affrontement,535
Jeu de carte à collectionner,436
Jeux de connaissances,433
"Hasard (Dé, Cartes, ...)",427
Jeux de pions,416
Casse-tête,380
Jeux de figurines,377
Placement,318
Déplacement,306
Combinaison,302
Ambiance,297
Jeu de logique,285
Médiéval-fantastique,273
Dés,261
Jeux de dés,256
Exploration,241
Coopération,239
Gestion,229
Gestion de main,229
Animaux,224
Jeux de rôles,221
Bluff,209
Fantastique,202
Jeux de figurines à collectionner,189
Science fiction,180
Jeux de lettres,177
Course,174
Prise de risque,172
Collection / famille,169
Commerce,169
Majorité,168
Rapidité,164
Médiéval,163
Historique,156
"Contes, Mythes & Légendes",151
Plateau modulaire,150
Blocage,150
Deck building,150
Casual,149
Pioche,145
Choix simultanés,144
Déduction,138
Conquête,137
Simulation,136
Amateur,136
Observation,134
Placement d'ouvrier,131
Mémoire,128
Tuile,126
Humour,121
Programmation,115
Antiquité,114
Dextérité/Adresse,110
Abstrait,109
Construction,108
Rôle,104
Diplomatie,103
Monstre,103
Connexions,96
Narration,95
Ville,95
Points d'action,92
Elimination,92
Horreur,90
Passionné,88
Geek,87
Asie,86
Divers,86
Enquêtes et Policiers,85
Objectif secret,83
Card-driven,83
Parcours,83
Créativité,79
Capture,79
Maritime,79
Locomotion & voyage,77
Guessing,74
Enchères japonaises,73
Récolte,72
Pirate,68
Colonisation,68
équipe,67
Stop ou encore,66
Semi-coopération,66
Lettres / mots,64
TV & Cinéma,63
Enigme,62
Zombies,61
Rôle secret,58
Logique,55
Draft,52
Politique,50
Connaissances,50
Trahison,47
Les îles,46
Far-west,42
Transport de marchandise,41
Bande dessinée,41
Question,40
Empilement,40
Renaissance,37
Défausse,37
Sport,36
Art,35
Catastrophe,33
Pari,33
Immobilier,32
Alignement,32
Rails,30
Chiffres,30
Fruits & légumes,30
Devinette,29
Préhistorique,29
SteamPunk,27
Bourse & finances,27
Religion,26
Egypte,26
Cuisine,25
Levées,25
Lettres & chiffres,25
Livre dont vous êtes le héros,25
Prospection minière,24
Dessin,24
Rangement,24
Labyrinthe,24
Echange - troc,24
Fantôme,23
Taquin,20
Samurai,20
Ecologie,20
Desert,18
Lovecraft,18
Enchères à poing fermé,17
Musique & Chanson,17
Halloween,16
Loups-garous,16
Hospitalier,15
Polaire,15
Aviation,14
Afrique,14
Enchères cachées,13
Mime,13
Espion,12
Cyberpunk,11
Vote,11
Vampire,9
Sorcière,9
Avant-vente,9
Robots,9
Toucher,9
Japon,8
Semaille,8
Cochon,7
Astronomie et Espace,7
Duplicate,7
Équilibre,6
Enchères a un tour,6
Cirque,6
Flore,6
Vikings,6
Volcan,5
Chifoumi,5
Chant & Danse,4
Jeu en ligne,4
Cambriolage,3
Enchères anglaises,3
Super Héros,3
Parc d'Attraction,3
Erotique,3
Cyclisme,2
Jeu sans investissement,2
Aventures dans la jungle,2
Puzzle,1
Chat,1
Vêtements,1
Jeux à gratter,1
Archive,1
