title,comment,note,comment_filtrer
Mariposas,"Lorsque le jeu est jeu, bon, réflexif, joli pour qui est sensible à ce style d'illustration... Lorsque l'on a envie d'y rejouer encore pour essayer autrement, et revivre cette histoire de papillons et de voyages... Et lorsqu'en plus, au détour des règles, on s'intéresse également au propos et à la sensibilisation, légère comme les ailes du dit-papillons et pourtant aussi bien amené, alors effectivement, il y a là un très bon jeu, ludiquement parlant (et il est possible de s'arrêter là) mais également très bon pour l'ouverture des yeux des joueuses et joueurs au monde qui nous entoure... Ça, c'est deux fois bon !",8,Lorsque est bon réflexif joli est sensible style illustration Lorsque a envie rejouer encore essayer autrement revivre histoire papillons voyages lorsqu' plus détour règles intéresse également propos sensibilisation légère ailes dit - papillons pourtant aussi bien amené alors effectivement a là très bon ludiquement parlant est possible arrêter là également très bon ouverture yeux joueuses joueurs monde entoure Ça est deux fois bon
The LOOP,"Edition (Univers, Direction artistique, Matériel) 5/5\nRègles (Clarté, Ergonomie, Complexité) 3/5\nRejouabilité (Mécanique, Profondeur, Efficacité) 3/5\nRenouvellement (Répétitif, Sensation, Durée) 4/5\n\nRéussir à renouveler le jeu coopératif n'est pas chose aisée. Il s'y passe un peu toujours la même chose : les héros font des actions, chacun avec une capacité spéciale ou deux qui tord un peu les règles, puis le méchant pollue le plateau d'une façon ou d'une autre. Il faudra donc à la fois s'occuper d'éteindre, ou de diminuer au moins, les points chauds tout en continuant d'avancer les critères qui mènent à la victoire par ailleurs. Et tout le reste dépend de l'univers et des aventures proposées par le jeu. \nEt là, The Loop se pose pas mal là. Que ce soit par les pollutions partiellement aléatoire du Docteur Foo ou par la mécanique de loop temporelle alliée à l'aspect ""deckbuilding"" décliné dans le jeu, on peut, si tant est qu'on aime la patte graphique (c'est mon cas) et l'histoire des clones à chasser d'époque en époque, se retrouver pris dans le casse-tête proposé par The Loop. \nL'humour des objets et des personnages, question de goûts, se marient bien et le travail autour des différents scénarios et niveaux de difficulté assurent à qui aime une difficulté croissante autour d'un tempo à maîtriser.\nUne belle itération d'un jeu coopératif et un univers qu'on se plaît à arpenter",8,Edition Univers Direction artistique Matériel 5/5\nRègles Clarté Ergonomie Complexité 3/5\nRejouabilité Mécanique Profondeur Efficacité Répétitif Sensation Durée renouveler coopératif n' est pas chose aisée passe peu toujours même chose héros font actions capacité spéciale deux tord peu règles méchant pollue plateau façon autre faudra donc fois occuper éteindre diminuer moins points chauds tout continuant avancer critères mènent victoire ailleurs tout reste dépend univers aventures proposées \nEt là The Loop pose pas mal là Que pollutions partiellement aléatoire Docteur Foo mécanique loop temporelle alliée aspect deckbuilding décliné peut si tant est qu' aime patte graphique est cas histoire clones chasser époque époque retrouver pris casse-tête proposé The Loop \nL' humour objets personnages question goûts marient bien travail autour différents scénarios niveaux difficulté assurent aime difficulté croissante autour tempo belle itération coopératif univers plaît arpenter
Harry Potter : Bataille à Poudlard - Défense contre les Forces du Mal,"Edition (Univers, Direction artistique, Matériel) 3/5\nRègles (Clarté, Ergonomie, Complexité) 4/5\nRejouabilité (Mécanique, Profondeur, Efficacité) 3/5\nRenouvellement (Répétitif, Sensation, Durée) 3/5\n\nDu deckbuilding sur trois round gagnants (donc potentiellement 5 manches) dans l'univers d'Harry Potter, ça part très bien ! \nMais les photos, comme dans Bataille à Poudlard, sont tirés du film et pourraient daté un peu l'édition de ce jeu, bien moins ancré dans l'univers du film, puisque ne reconstituant ""que"" la scène du duel dans La Chambre des secrets comparé à son grand frère coopératif. On retrouve tellement, par ailleurs, la charte graphique de ""HP - Hogward's Battle"" que l'envie est grande d'avoir à la fois un jeu et une extension... Mais non, ce n'est qu'un jeu à part ! Le matériel reste de bonne qualité et les règles sont claires.\nCe qui coince un peu est que, si l'idée du duel semble en être une bonne, les manches qui se suivent, à moins de vraiment bien connaître le jeu et de savoir sur quelle stratégie ""long terme"" partir (en espérant que les cartes qui vont avec sortiront, bien sûr), le jeu est un peu ""plus je gagne et plus je gagne"". La comparaison avec Star Realms est vite présente à l'esprit : Deckbuilding ; Achat, Régénérer, Taper ; Des familles (ici les 4 maisons) qui, si nous avons des cartes lui appartenant, permettent de profiter de l'effet bonus.\nMais là où Star Realms a le mérite de proposer des affrontements ""one shot"", nerveux et court qui en appellent d'autre en repartant à zéro (et donc à égalité), ici, le temps peut devenir long pour celui qui perd sans trop d'espoir de revenir. \nN'en demeure pas moins un jeu simple pour appréhender les deckbuildings dans un univers clairement porteur et qui reste plaisant pour débuter ou s'en faire une petite de temps en temps. Notons également la bonne idée que sont les mauvais sorts tellement il est plaisant d'aller pourrir le deck de son adversaire... Et là pour le coup, ok, nous sommes en plein dans le thème :)",6,Edition Univers Direction artistique Matériel 3/5\nRègles Clarté Ergonomie Complexité 4/5\nRejouabilité Mécanique Profondeur Efficacité Répétitif Sensation Durée 3/5\n\nDu deckbuilding trois round gagnants donc potentiellement 5 manches univers Harry Potter part très bien \nMais photos Bataille Poudlard sont tirés film pourraient daté peu édition bien moins ancré univers film puisque ne reconstituant que scène duel Chambre secrets comparé grand frère coopératif retrouve tellement ailleurs charte graphique HP Hogward' s Battle que envie est grande avoir fois extension non n' est qu' part matériel reste bonne qualité règles sont coince peu est que si idée duel semble être bonne manches suivent moins vraiment bien connaître savoir stratégie long terme partir espérant que cartes vont sortiront bien sûr est peu plus gagne plus gagne comparaison Star Realms est vite présente esprit Deckbuilding Achat Régénérer Taper familles ici 4 maisons si avons cartes appartenant permettent profiter effet bonus.\nMais là Star Realms a mérite proposer affrontements one shot nerveux court appellent autre repartant zéro donc égalité ici temps peut devenir long perd trop espoir revenir \nN' demeure pas moins simple appréhender deckbuildings univers clairement porteur reste plaisant débuter faire petite temps temps Notons également bonne idée que sont mauvais sorts tellement est plaisant aller pourrir deck adversaire là coup sommes plein thème :)
Roméo & Juliette,"Marions (c'est le cas de le dire) un thème finalement peu usité avec une contrainte de communication dans un jeu coopératif où le dit-thème sert complètement le propos. Ajoutons en dot une boite, un matériel qui lui aussi, amène à tourner autour du pot, autour de ces amoureux transis qui se courent après en essayant d'éviter la discorde où les pousse les deux familles ennemis et vous voici avec un jeu à deux prenant et qui, non seulement, raconte une belle histoire mais plusieurs belles histoires. \nEn effet, le renouvellement aurait pu être pauvre si vous n'aviez fait que jouer la même histoire mais non, plusieurs ""scénarios"", ""étapes de la grande histoire"" sont à jouer, amenant également à maîtriser de mieux en mieux le jeu et ses mécanismes. \nIl faut faire face à différents événements et toujours remettre sur l'ouvrage la gestion du jeu et cette communication contrainte et restreinte pour l'emporter. \nUn beau défi que ce jeu à deux et une belle édition !",8,Marions est cas dire thème finalement peu usité contrainte communication coopératif dit - thème sert complètement propos Ajoutons dot boite matériel aussi amène tourner autour pot autour amoureux transis courent essayant éviter discorde pousse deux familles ennemis voici deux prenant non seulement raconte belle histoire belles histoires \nEn effet renouvellement aurait pu être pauvre si n' aviez fait que jouer même histoire non scénarios étapes grande histoire sont jouer amenant également maîtriser mieux mieux mécanismes \nIl faut faire face différents événements toujours remettre ouvrage gestion communication contrainte restreinte emporter \nUn beau défi deux belle édition
Tekhenu,"Oui, parce que là, il faudra un peu vous masser les neurones... D'un autre côté, nous parlons d'un jeu des auteurs (pour l'un ou l'autre) de Trickerion, des Voyages de Marco Polo ou encore Anachrony... Rien que du ""très léger"", donc !\nIci, rien à dire, ceux qui aiment la salade de points, version gâteau à la crème avec supplément Chantilly seront en extase. Pour les autres, attention à l'écoeurement. \nSi le coeur du jeu autour de cet obélisque (et astérixsme bien sûr) et la mécanique des dés qui évoluent de pur à corrompu ou interdit en fonction de la lumière est une très bonne idée, il y avait largement moyen d'en faire un jeu extrêmement agréable sans en ajouter forcément des tonnes. Autant la construction des ateliers, et même les colonnades du temples permettent de rester dans le thème, par ailleurs, plutôt agréable et cohérent avec les mécaniques du jeu, autant quelques ajouts comme l'adjacence des couleurs au temple, un peu de majorité dans les ""colonnes"" des ateliers, un peu de coordonnées avec deux récupérations différentes dans les lignes et colonnes du temple sembleraient pouvoir ne pas y être et permettre de resserrer l'intérêt du jeu autour d'une colonne (encore) vertébrale plus marquée. \nCeci étant, les règles, une fois acquise, se retrouvent assez rapidement partout sur le plateau avec une iconographie et des choix de code couleur plutôt compréhensibles et le temps de jeu reste plutôt raisonnable pour ce type de jeu. Quant au renouvellement, que ce soit par l'ensemble des cartes où même la répartition différente des dieux, ce paramètre est assurément présent. Donc sans être dénué de ce qui peut être pour les uns des excroissances inutiles, nous avons clairement là un bon cru d'un jeu qu'on peut qualifier ""d'expert"".\nTerminons tout de même par cette bizarrerie du jugement de Maât qui n'était pas du tout l'équilibre entre la pureté et la corruption de vos actions mais bien la pesée de votre ka comparativement au poids d'une plume de la déesse... Etonnante vision donc que cet équilibre, mais après tout, c'est pour ""du jeu"" !",7,"Oui parce que là faudra peu masser neurones autre côté parlons auteurs Trickerion Voyages Marco Polo encore Anachrony que très léger donc \nIci dire aiment salade points version gâteau crème supplément Chantilly seront extase autres attention écoeurement \nSi coeur autour obélisque astérixsme bien sûr mécanique dés évoluent pur corrompu interdit fonction lumière est très bonne idée avait largement moyen faire extrêmement agréable ajouter forcément tonnes Autant construction ateliers même colonnades temples permettent rester thème ailleurs plutôt agréable cohérent mécaniques autant ajouts adjacence couleurs temple peu majorité colonnes ateliers peu coordonnées deux récupérations différentes lignes colonnes temple sembleraient pouvoir ne pas être permettre resserrer intérêt autour colonne encore vertébrale plus marquée \nCeci étant règles fois acquise retrouvent assez rapidement partout plateau iconographie choix code couleur plutôt compréhensibles temps reste plutôt raisonnable type Quant renouvellement que ensemble cartes même répartition différente dieux paramètre est assurément présent Donc être dénué peut être uns excroissances inutiles avons clairement là bon cru peut qualifier expert"".\nTerminons tout même bizarrerie jugement Maât n' était pas tout équilibre pureté corruption actions bien pesée ka comparativement poids plume déesse Etonnante vision donc que équilibre tout est"
Clank! Legacy: Acquisitions Incorporated.,"C'est avec Renegade France que nous repartons à la recherche de trésors dans une course sans cesse renouvelées. Si vous ne connaissez pas Clank ! et que vous souhaitez introduire ce jeu sur votre table, cette version Legacy est faite pour vous. Attention, vous allez placer des autocollants, déchirer des cartes et autres plaisirs rédhibitoires pour certaines et certains, vous êtes prévenu... Et c'est tellement drôle !\n\nAutour de votre franchise d'aventuriers collecteurs de trésors, vous allez jouer un deckbuilding, c'est à dire acheter des cartes qui viendront agrandir votre paquet en espérant que tout cela marche bien ensemble et rapporte des points. Et le Legacy vous procurera le double plaisir de vivre une campagne de partie en partie pour retrouver, à la fin, un plateau de jeu unique et valable pour toutes vos futures parties autour de la gamme Clank !\n\nEntre humour décalé et coups pendables entre joueuses et joueurs, vivez une expérience drôle et unique que certains ont même rejoué plusieurs fois.",9,est Renegade France repartons recherche trésors course cesse renouvelées Si ne connaissez pas Clank que souhaitez introduire table version Legacy est faite Attention allez placer autocollants déchirer cartes autres plaisirs rédhibitoires êtes prévenu est tellement drôle franchise aventuriers trésors allez jouer deckbuilding est dire acheter cartes viendront agrandir paquet espérant que marche bien ensemble rapporte points Legacy procurera double plaisir vivre campagne partie partie retrouver fin plateau unique valable toutes futures parties autour gamme Clank \n\nEntre humour décalé coups pendables joueuses joueurs vivez expérience drôle unique que ont même rejoué fois
Schotten Totten 2,"Edition (Univers, Direction artistique, Matériel) 4/5\nRègles (Clarté, Ergonomie, Complexité) 4/5\nRejouabilité (Mécanique, Profondeur, Efficacité) 5/5\nRenouvellement (Répétitif, Sensation, Durée) 4/5\n\nLà où le premier opus de Knizia, symétrique, tournait autour d'une sombre histoire de bornes, retrouvons maintenant de l'assymétrie avec une histoire, porteuse, de remparts à défendre. \nLa dose de réflexions de ce jeu à deux est très présente, ce qui en fait son charme, mais la différence de poste entre défense et attaque lui donne aussi un plaisir supplémentaire et une re-découverte du jeu... Au point que nous sommes ravis de pouvoir compter sur les deux jeux en fonction des envies. \nRéfléchir ""en plusieurs bandes"" (si je montre ça, il peut prouver que sa combinaison est la plus forte donc il faut d'abord que je joue ça pour ensuite..."" reste toujours parfaitement maîtrisé et à maîtriser et ne vous attendez donc pas à des éclats de rire et autres bidonnements, nous sommes clairement dans un jeu à tripatouillage de neurones silencieux... Mais il le fait bien, très bien même et dans la gamme très chouette des Mini Games chez Iello, c'est nickel !...\nA une petite exception près... Les chaudrons d'huiles oO Tailles et matière font lever un sourcil d'étonnement. C'est un détail mais notons-le tout-de-même :D",8,Edition Univers Direction artistique Matériel 4/5\nRègles Clarté Ergonomie Complexité 4/5\nRejouabilité Mécanique Profondeur Efficacité 5/5\nRenouvellement Répétitif Sensation Durée 4/5\n\nLà premier opus Knizia symétrique tournait autour sombre histoire bornes retrouvons maintenant assymétrie histoire porteuse remparts défendre \nLa dose réflexions est très présente fait charme différence poste défense attaque donne aussi plaisir supplémentaire re-découverte point sommes ravis pouvoir compter deux fonction envies \nRéfléchir bandes si montre peut prouver que combinaison est plus forte donc faut abord que joue ensuite reste toujours parfaitement maîtrisé maîtriser ne attendez donc pas éclats rire autres bidonnements sommes clairement tripatouillage neurones silencieux fait bien très bien même gamme très chouette Mini Games Iello est nickel \nA petite exception près chaudrons huiles oO Tailles matière font lever sourcil étonnement est détail notons - tout-de-même :D
Prehistories,"Edition (Univers, Direction artistique, Matériel) 4/5\nRègles (Clarté, Ergonomie, Complexité) 4/5\nRejouabilité (Mécanique, Profondeur, Efficacité) 4/5\nRenouvellement (Répétitif, Sensation, Durée) 4/5\n\nDans une boite où les illustrations de Camille Chaussy rendent chaque élément choupinou, vous trouverez une course aux objectifs qui cachent un jeu d'enchère familial et aussi malin que plaisant. S'il manque un petit sac pour mélanger et piocher vraiment à l'aveugle les pièces que nous placerons après la chasse (phase d'enchère) sur notre mur de grotte, jouer à la fois sur la gestion de sa tribu (main de cartes) nécessitant parfois de se reposer pour la reconstituer et à la fois sur les enchères (les petits groupes se serviront en premier mais les plus grands groupes ramèneront de meilleurs trophées) amène des situations et des décisions très sympas à partager. Il n'y a que le fait d'avoir la règle du plus rapide (plus grand chiffre) sur les égalités alors que le reste du temps c'est du plus petit au plus grand qui fait parfois froncer les sourcils. \nArrive ensuite le jeu de placement et la course aux objectifs permettant de se débarrasser le plus vite possible de ses jetons tribu pour gagner et vous obtenez un très chouette jeu familial où tout se passe avec fluidité et bonne ambiance !\nAttention, hein, pas un jeu d'experts... Mais un bon jeu passerelle ou découverte !\nBien vu !",8,Edition Univers Direction artistique Matériel 4/5\nRègles Clarté Ergonomie Complexité 4/5\nRejouabilité Mécanique Profondeur Efficacité 4/5\nRenouvellement Répétitif Sensation Durée boite illustrations Camille Chaussy rendent élément choupinou trouverez course objectifs cachent enchère familial aussi malin que plaisant S' manque petit sac mélanger piocher vraiment aveugle pièces placerons chasse phase enchère mur grotte jouer fois gestion tribu main cartes nécessitant parfois reposer reconstituer fois enchères petits groupes serviront premier plus grands groupes ramèneront meilleurs trophées amène situations décisions très sympas partager n' a que fait avoir règle plus rapide plus grand chiffre égalités alors que reste temps est plus petit plus grand fait parfois froncer sourcils \nArrive ensuite placement course objectifs permettant débarrasser plus vite possible jetons tribu gagner obtenez très chouette familial passe fluidité bonne ambiance \nAttention hein pas experts bon passerelle découverte \nBien vu
The Crew,"Très bien vu, Monsieur Sing ! Depuis votre console de Cap Canaveral, vous avez fort bien réussi à marier le jeu de plis et le jeu coopératif. Il faut aimer les jeux de plis, certes. Mais pour ceux qui n'aiment pas, l'aspect coopératif / puzzle-game pourrait prendre le dessus. Il faut aimer les jeux coopératifs, d'accord. Mais pour ceux qui n'aiment pas, cela reste un vrai jeu de plis avec une forme d'annonce. Au lieu d'avoir le ""cul entre deux chaises"", l'alliance renforce la somme des deux aspects.\n\nIl faut même parfois se retenir, comme vous le diront les ""ultras d'Hanabi"", de ne pas soulever un sourcil  ou de s'exclamer d'un ""OOOuuuh oui, trop bien !"" lorsqu'un pli se passe comme vous l'aviez prévu ! Parce que, qu'on le veuille ou non, ce sont des communications qui donnent des infos supplémentaires simplifiant potentiellement la teneur du défi. Pourtant quel délice de vivre entre amis ces regards lourds de sens, mais potentiellement incompréhensible, puisque l'informations n'est que dans votre tête et les autres joueurs ne savent pas ce que vous savez !... Ou n'ont pas bien compris le sens de votre stratégie ! Quel plaisir torturé, ces interminables discussions de fin de mission à base de ""mais t'avais pas pigé mon message ou quoi ? Si j'ai joué un 1, ce n'est pas pour que tu fasses n'importe quoi pour le plaisir, c'était pour laisser la main à Johan qui, trois plis après, partait à la chasse au p'tit... enfin, aux déflecteurs !""\n\nAlors il faut être clair, le vernis de l'histoire n'est qu'un vernis ! Mais il a à la fois la pudeur de se faire oublier lorsqu'on se concentre sur telle carte à gagner ou telle manoeuvre tordue pour perdre telle autre pendant la partie, tout autant que le liant nécessaire pour fournir une petite pause bienvenue pour continuer l'aventure de partie en partie, de défi en défi.\n\nRenouvelons donc notre pronostique, The Crew a tous les atouts en main pour réussir un décollage parfait et repartir de la planète Spiel auréolé de la victoire !",9,Très bien vu Monsieur Sing console Cap Canaveral avez fort bien réussi marier plis coopératif faut aimer plis certes n' aiment pas aspect coopératif puzzle - game pourrait prendre dessus faut aimer coopératifs accord n' aiment pas reste vrai plis forme annonce lieu avoir cul deux chaises alliance renforce somme deux aspects.\n\nIl faut même parfois retenir comme diront ultras Hanabi ne pas soulever sourcil   exclamer OOOuuuh oui trop bien lorsqu' pli passe aviez prévu Parce que qu' veuille non sont communications donnent infos supplémentaires simplifiant potentiellement teneur défi Pourtant délice vivre amis regards lourds sens potentiellement incompréhensible puisque informations n' est que tête autres joueurs ne savent pas savez n' ont pas bien compris sens stratégie Quel plaisir torturé interminables discussions fin mission base avais pas pigé message Si ai joué 1 n' est pas que tu fasses n' importe plaisir était laisser main Johan trois plis partait chasse p' tit enfin déflecteurs faut être clair vernis histoire n' est qu' vernis a fois pudeur faire oublier lorsqu' concentre telle carte gagner telle manoeuvre tordue perdre telle autre partie tout autant que liant nécessaire fournir petite pause bienvenue continuer aventure partie partie défi défi.\n\nRenouvelons donc pronostique The Crew a tous atouts main réussir décollage parfait repartir planète Spiel auréolé victoire
MicroMacro Crime City,"Edition (Univers, Direction artistique, Matériel) 3/5 \nRègles (Clarté, Ergonomie, Complexité) 5/5 \nRejouabilité (Mécanique, Profondeur, Efficacité) 4/5 \nRenouvellement (Répétitif, Sensation, Durée) 5/5 \n\nCertes, le grand poster est en papier et il vous faudra y faire attention (liquides et autres tâches graisseuses de doigts dégoulinants).\nCeci étant dit, ce jeu reste une vraie pépite : Il donne à la fois les sensations d'enquêter, de lire une bd, de voyager dans le temps à rebours tout autant que de découvrir une ""petite"" cité vivante et bouillonnante.\nLe moindre détail peut être une nouvelle enquête, la moindre phrase lue sur le site du jeu également, et vous voilà reparti au delà des 16 enquêtes déjà présentes dans la boite.\nPeut être qu'au bout de 10 boites, l'essoufflement apparaîtra... Mais en attendant, c'est clairement un des jeux de l'année, un plaisir ludique qui se consomme sans faim à découvrir et enquêter sur toutes ces petites histoires d'une drôle de Crime City !",9,Edition Univers Direction artistique Matériel 3/5 \nRègles Clarté Ergonomie Complexité 5/5 \nRejouabilité Mécanique Profondeur Efficacité \nRenouvellement Répétitif Sensation Durée 5/5 \n\nCertes grand poster est papier faudra faire attention liquides autres tâches graisseuses doigts étant dit reste vraie pépite donne fois sensations enquêter lire bd voyager temps rebours tout autant que découvrir petite cité vivante bouillonnante.\nLe moindre détail peut être nouvelle enquête moindre phrase lue site également voilà reparti delà 16 enquêtes déjà présentes boite.\nPeut être qu' bout 10 boites essoufflement apparaîtra attendant est clairement année plaisir ludique consomme faim découvrir enquêter toutes petites histoires drôle Crime City
